Tijd (s),Spanning (V)
-0.0007,0.002
-0.000699,-0.01
-0.0006979999999999999,0.002
-0.000697,-0.01
-0.000696,-0.006
-0.000695,-0.014
-0.000694,-0.012
-0.000693,-0.006
-0.000692,-0.012
-0.000691,0.002
-0.00069,-0.004
-0.0006889999999999999,0.006
-0.000688,0.008
-0.000687,-0.004
-0.000686,0.002
-0.000685,-0.004
-0.000684,0.002
-0.000683,-0.006
-0.000682,-0.008
-0.000681,0.0
-0.00068,0.0
-0.000679,-0.006
-0.000678,-0.004
-0.000677,0.008
-0.000676,0.008
-0.000675,0.0
-0.000674,0.006
-0.000673,0.012
-0.000672,0.002
-0.0006709999999999999,0.01
-0.00067,0.008
-0.000669,-0.002
-0.000668,0.0
-0.000667,0.008
-0.000666,0.008
-0.000665,-0.006
-0.000664,-0.002
-0.000663,-0.012
-0.000662,-0.002
-0.000661,-0.008
-0.00066,-0.008
-0.000659,-0.002
-0.000658,-0.01
-0.000657,0.006
-0.000656,0.006
-0.000655,-0.008
-0.000654,0.006
-0.000653,-0.006
-0.000652,-0.006
-0.000651,0.01
-0.00065,0.012
-0.000649,0.006
-0.000648,0.008
-0.000647,0.002
-0.000646,0.01
-0.000645,-0.002
-0.000644,-0.004
-0.000643,0.008
-0.000642,0.004
-0.000641,0.014
-0.0006399999999999999,0.008
-0.000639,0.002
-0.000638,0.0
-0.000637,0.006
-0.000636,0.006
-0.000635,0.0
-0.000634,-0.002
-0.000633,0.006
-0.000632,0.01
-0.000631,0.0
-0.00063,0.004
-0.000629,-0.004
-0.000628,0.002
-0.000627,0.012
-0.000626,-0.004
-0.000625,0.006
-0.000624,0.002
-0.000623,0.008
-0.0006219999999999999,0.008
-0.000621,-0.002
-0.00062,0.002
-0.000619,-0.006
-0.000618,-0.004
-0.000617,0.004
-0.000616,0.0
-0.000615,0.012
-0.000614,0.01
-0.000613,0.0
-0.000612,0.01
-0.000611,0.004
-0.00061,0.002
-0.000609,0.01
-0.000608,0.012
-0.000607,0.0
-0.000606,0.002
-0.000605,0.012
-0.0006039999999999999,0.006
-0.000603,-0.008
-0.000602,-0.01
-0.000601,0.0
-0.0006000000000000001,-0.004
-0.000599,0.002
-0.000598,0.0
-0.000597,-0.008
-0.000596,-0.01
-0.000595,0.0
-0.000594,-0.002
-0.000593,-0.01
-0.000592,-0.008
-0.0005909999999999999,-0.018
-0.00059,-0.018
-0.000589,-0.004
-0.000588,-0.012
-0.000587,-0.004
-0.000586,-0.012
-0.000585,0.0
-0.000584,-0.01
-0.000583,0.0
-0.000582,-0.008
-0.000581,0.004
-0.00058,0.002
-0.000579,-0.008
-0.000578,-0.008
-0.000577,-0.002
-0.000576,-0.004
-0.000575,-0.01
-0.000574,-0.006
-0.0005729999999999999,-0.002
-0.000572,-0.01
-0.000571,0.0
-0.00057,-0.004
-0.0005690000000000001,0.004
-0.000568,-0.004
-0.000567,0.006
-0.000566,0.006
-0.000565,-0.002
-0.000564,0.006
-0.000563,-0.006
-0.000562,-0.006
-0.000561,0.0
-0.00056,-0.004
-0.000559,0.012
-0.000558,0.014
-0.000557,0.002
-0.000556,0.002
-0.0005549999999999999,0.01
-0.000554,0.012
-0.000553,-0.006
-0.000552,-0.006
-0.0005510000000000001,0.008
-0.00055,0.004
-0.000549,0.012
-0.000548,0.008
-0.000547,0.016
-0.000546,0.016
-0.000545,0.004
-0.000544,0.008
-0.000543,0.0
-0.000542,0.002
-0.000541,0.01
-0.00054,0.006
-0.000539,0.014
-0.0005380000000000001,0.01
-0.0005369999999999999,0.002
-0.000536,0.002
-0.000535,0.012
-0.000534,0.01
-0.000533,-0.006
-0.000532,-0.008
-0.000531,0.0
-0.00053,-0.006
-0.000529,0.002
-0.000528,-0.002
-0.000527,0.01
-0.000526,0.006
-0.000525,0.02
-0.0005239999999999999,0.022
-0.000523,0.01
-0.000522,0.014
-0.000521,-0.002
-0.0005200000000000001,-0.004
-0.000519,0.004
-0.000518,0.0
-0.000517,-0.01
-0.000516,-0.01
-0.000515,0.004
-0.000514,0.0
-0.000513,0.006
-0.000512,0.008
-0.000511,-0.004
-0.00051,0.002
-0.000509,-0.006
-0.000508,-0.008
-0.000507,0.0
-0.0005059999999999999,-0.002
-0.000505,0.01
-0.000504,0.01
-0.000503,0.004
-0.0005020000000000001,0.01
-0.000501,0.002
-0.0005,0.0
-0.000499,0.006
-0.000498,0.004
-0.000497,-0.01
-0.000496,-0.002
-0.000495,-0.012
-0.000494,-0.008
-0.000493,-0.002
-0.000492,-0.006
-0.000491,0.006
-0.00049,0.002
-0.0004890000000000001,0.016
-0.000488,0.014
-0.000487,-0.004
-0.000486,0.0
-0.00048499999999999997,-0.008
-0.000484,-0.008
-0.00048300000000000003,0.008
-0.000482,0.0
-0.000481,0.012
-0.00048,0.01
-0.00047900000000000004,0.016
-0.000478,0.014
-0.000477,0.004
-0.00047599999999999997,0.008
-0.000475,0.0
-0.00047400000000000003,0.008
-0.000473,0.0
-0.000472,0.002
-0.000471,0.01
-0.00047000000000000004,0.002
-0.000469,0.014
-0.000468,0.01
-0.00046699999999999997,0.02
-0.000466,0.016
-0.000465,0.008
-0.000464,0.014
-0.000463,0.002
-0.000462,0.01
-0.00046100000000000004,0.002
-0.00046,0.008
-0.000459,-0.01
-0.00045799999999999997,-0.006
-0.000457,-0.012
-0.000456,-0.008
-0.000455,-0.002
-0.00045400000000000003,-0.008
-0.000453,0.004
-0.000452,0.002
-0.000451,0.01
-0.00045,0.006
-0.000449,-0.002
-0.000448,-0.004
-0.000447,0.006
-0.000446,0.002
-0.00044500000000000003,0.008
-0.000444,0.006
-0.000443,-0.006
-0.000442,-0.006
-0.000441,0.01
-0.00044,0.006
-0.000439,0.0
-0.000438,0.004
-0.000437,-0.002
-0.000436,0.002
-0.000435,-0.01
-0.000434,-0.006
-0.000433,0.01
-0.000432,0.012
-0.000431,0.004
-0.00043,0.006
-0.000429,-0.002
-0.000428,0.004
-0.000427,-0.012
-0.000426,-0.014
-0.00042500000000000003,-0.002
-0.000424,-0.006
-0.000423,0.002
-0.000422,-0.006
-0.000421,0.004
-0.00042,0.004
-0.000419,-0.002
-0.000418,0.002
-0.000417,-0.004
-0.00041600000000000003,-0.008
-0.000415,0.002
-0.000414,0.002
-0.000413,-0.004
-0.000412,-0.004
-0.000411,0.006
-0.00041,0.002
-0.000409,-0.01
-0.000408,-0.004
-0.000407,0.002
-0.000406,0.0
-0.00040500000000000003,-0.008
-0.000404,-0.004
-0.000403,-0.014
-0.000402,-0.01
-0.000401,0.006
-0.0004,0.004
-0.000399,0.014
-0.000398,0.016
-0.000397,-0.006
-0.00039600000000000003,-0.012
-0.000395,-0.002
-0.000394,-0.006
-0.000393,0.012
-0.000392,0.008
-0.000391,0.016
-0.00039,0.012
-0.000389,0.03
-0.000388,0.028
-0.00038700000000000003,0.016
-0.000386,0.022
-0.00038500000000000003,0.012
-0.000384,0.018
-0.000383,0.006
-0.000382,0.006
-0.000381,0.014
-0.00038,0.01
-0.000379,0.002
-0.000378,0.008
-0.000377,0.0
-0.00037600000000000003,0.002
-0.000375,0.016
-0.000374,0.014
-0.000373,0.002
-0.000372,0.006
-0.000371,0.01
-0.00037,0.01
-0.000369,-0.004
-0.000368,0.0
-0.00036700000000000003,-0.008
-0.000366,-0.006
-0.000365,0.004
-0.000364,0.002
-0.000363,0.01
-0.000362,0.004
-0.000361,0.01
-0.00036,0.004
-0.000359,0.01
-0.00035800000000000003,0.008
-0.000357,-0.004
-0.00035600000000000003,-0.008
-0.000355,0.0
-0.000354,-0.004
-0.000353,0.004
-0.000352,0.004
-0.000351,-0.008
-0.00035,-0.004
-0.000349,-0.01
-0.000348,-0.002
-0.00034700000000000003,-0.012
-0.000346,-0.012
-0.000345,-0.006
-0.000344,-0.008
-0.000343,-0.024
-0.000342,-0.022
-0.000341,-0.006
-0.00034,-0.012
-0.000339,-0.004
-0.00033800000000000003,-0.014
-0.000337,-0.006
-0.00033600000000000004,-0.006
-0.000335,-0.012
-0.000334,-0.008
-0.000333,0.01
-0.000332,0.008
-0.000331,0.012
-0.00033,0.006
-0.00032900000000000003,0.018
-0.000328,0.018
-0.00032700000000000003,0.006
-0.000326,0.002
-0.000325,0.01
-0.000324,0.008
-0.000323,-0.004
-0.000322,-0.002
-0.000321,0.004
-0.00032,0.002
-0.000319,-0.008
-0.00031800000000000003,0.004
-0.000317,-0.014
-0.000316,-0.016
-0.000315,-0.004
-0.000314,-0.008
-0.000313,0.004
-0.000312,0.008
-0.000311,-0.002
-0.00031,0.0
-0.00030900000000000003,0.004
-0.000308,-0.002
-0.00030700000000000004,0.006
-0.000306,0.004
-0.000305,-0.008
-0.000304,-0.008
-0.000303,0.004
-0.000302,0.008
-0.000301,0.0
-0.00030000000000000003,-0.004
-0.000299,0.008
-0.00029800000000000003,0.008
-0.000297,0.002
-0.000296,0.006
-0.000295,-0.006
-0.000294,-0.01
-0.000293,0.004
-0.000292,0.006
-0.000291,-0.004
-0.00029,-0.002
-0.00028900000000000003,0.012
-0.000288,0.012
-0.00028700000000000004,0.004
-0.000286,0.006
-0.000285,0.016
-0.000284,0.014
-0.000283,-0.004
-0.000282,-0.004
-0.000281,0.008
-0.00028000000000000003,0.008
-0.000279,-0.002
-0.00027800000000000004,0.0
-0.000277,0.014
-0.000276,0.016
-0.000275,0.006
-0.000274,0.014
-0.000273,-0.002
-0.000272,0.0
-0.00027100000000000003,0.014
-0.00027,0.012
-0.00026900000000000003,0.02
-0.000268,0.02
-0.00026700000000000004,0.006
-0.000266,0.01
-0.000265,-0.002
-0.000264,0.004
-0.000263,-0.006
-0.000262,-0.006
-0.000261,0.006
-0.00026000000000000003,0.004
-0.000259,-0.012
-0.00025800000000000004,-0.012
-0.000257,-0.004
-0.000256,-0.008
-0.000255,0.0
-0.000254,-0.004
-0.000253,-0.014
-0.000252,-0.014
-0.00025100000000000003,0.002
-0.00025,-0.006
-0.00024900000000000004,0.002
-0.000248,-0.002
-0.000247,-0.016
-0.000246,-0.008
-0.000245,-0.016
-0.00024400000000000002,-0.016
-0.000243,-0.004
-0.00024200000000000003,-0.01
-0.000241,0.002
-0.00024000000000000003,-0.002
-0.000239,0.008
-0.00023800000000000004,0.002
-0.00023700000000000001,0.014
-0.000236,0.016
-0.00023500000000000002,0.004
-0.000234,0.008
-0.00023300000000000003,0.002
-0.000232,0.006
-0.00023100000000000003,0.016
-0.00023,0.012
-0.00022900000000000004,0.02
-0.000228,0.016
-0.000227,0.022
-0.00022600000000000002,0.02
-0.000225,0.006
-0.00022400000000000002,0.012
-0.000223,0.0
-0.00022200000000000003,0.0
-0.000221,0.01
-0.00022000000000000003,0.008
-0.000219,0.016
-0.00021800000000000004,0.012
-0.00021700000000000002,0.0
-0.000216,0.0
-0.00021500000000000002,0.008
-0.000214,0.006
-0.00021300000000000003,-0.002
-0.000212,0.002
-0.00021100000000000003,-0.008
-0.00021,-0.006
-0.00020899999999999998,0.004
-0.00020800000000000007,0.004
-0.00020700000000000004,-0.002
-0.00020600000000000002,-0.004
-0.000205,0.006
-0.00020399999999999997,0.01
-0.00020300000000000006,0.002
-0.00020200000000000003,0.006
-0.000201,-0.002
-0.00019999999999999998,-0.002
-0.00019900000000000007,0.006
-0.00019800000000000004,0.008
-0.00019700000000000002,0.0
-0.000196,0.008
-0.00019499999999999997,0.002
-0.00019400000000000005,0.008
-0.00019300000000000003,-0.01
-0.000192,-0.012
-0.00019099999999999998,0.0
-0.00019000000000000006,-0.006
-0.00018900000000000004,0.004
-0.00018800000000000002,-0.002
-0.000187,0.008
-0.00018599999999999997,-0.004
-0.00018500000000000005,0.006
-0.00018400000000000003,0.008
-0.000183,0.002
-0.00018199999999999998,0.002
-0.00018100000000000006,0.01
-0.00018000000000000004,0.008
-0.00017900000000000001,0.002
-0.000178,0.0
-0.00017699999999999997,0.01
-0.00017600000000000005,0.008
-0.00017500000000000003,0.014
-0.000174,0.004
-0.00017299999999999998,0.012
-0.00017200000000000006,0.008
-0.00017100000000000004,0.016
-0.00017,0.01
-0.000169,0.002
-0.00016799999999999996,-0.002
-0.00016700000000000005,0.008
-0.00016600000000000002,0.006
-0.000165,0.02
-0.00016399999999999997,0.018
-0.00016300000000000006,0.002
-0.00016200000000000003,0.006
-0.000161,-0.004
-0.00015999999999999999,0.004
-0.00015900000000000007,0.012
-0.00015800000000000005,0.004
-0.00015700000000000002,0.01
-0.000156,0.006
-0.00015499999999999997,-0.002
-0.00015400000000000006,-0.004
-0.00015300000000000003,0.012
-0.000152,0.014
-0.00015099999999999998,0.002
-0.00015000000000000007,0.002
-0.00014900000000000004,0.012
-0.00014800000000000002,0.01
-0.000147,0.002
-0.00014599999999999997,0.006
-0.00014500000000000006,0.0
-0.00014400000000000003,0.004
-0.000143,-0.006
-0.00014199999999999998,0.0
-0.00014100000000000007,-0.006
-0.00014000000000000004,0.0
-0.00013900000000000002,-0.006
-0.000138,-0.002
-0.00013699999999999997,-0.012
-0.00013600000000000005,-0.014
-0.00013500000000000003,-0.006
-0.000134,-0.012
-0.00013299999999999998,-0.004
-0.00013200000000000006,-0.01
-0.00013100000000000004,-0.002
-0.00013000000000000002,-0.01
-0.000129,-0.002
-0.00012799999999999997,-0.014
-0.00012700000000000005,-0.002
-0.00012600000000000003,-0.006
-0.000125,0.004
-0.00012399999999999998,0.006
-0.00012300000000000006,-0.002
-0.00012200000000000004,0.002
-0.00012100000000000001,-0.008
-0.00011999999999999999,-0.004
-0.00011899999999999997,0.01
-0.00011800000000000005,0.012
-0.00011700000000000002,0.004
-0.000116,0.008
-0.00011499999999999998,0.0
-0.00011400000000000006,0.012
-0.00011300000000000004,-0.002
-0.00011200000000000001,0.002
-0.00011099999999999999,-0.004
-0.00011000000000000007,-0.002
-0.00010900000000000005,-0.016
-0.00010800000000000002,-0.018
-0.000107,-0.006
-0.00010599999999999997,-0.008
-0.00010500000000000006,-0.014
-0.00010400000000000003,-0.01
-0.00010300000000000001,-0.016
-0.00010199999999999999,-0.014
-0.00010100000000000007,-0.004
-0.00010000000000000005,-0.006
-9.900000000000002e-05,0.008
-9.8e-05,0.002
-9.699999999999997e-05,0.012
-9.600000000000006e-05,0.01
-9.500000000000003e-05,-0.008
-9.400000000000001e-05,-0.008
-9.299999999999998e-05,0.0
-9.200000000000007e-05,-0.004
-9.100000000000004e-05,0.004
-9.000000000000002e-05,0.0
-8.9e-05,0.006
-8.799999999999997e-05,0.008
-8.700000000000005e-05,-0.006
-8.600000000000003e-05,0.0
-8.5e-05,-0.006
-8.399999999999998e-05,0.004
-8.300000000000007e-05,-0.006
-8.200000000000004e-05,-0.004
-8.100000000000002e-05,0.008
-7.999999999999999e-05,0.008
-7.899999999999997e-05,0.002
-7.800000000000005e-05,0.008
-7.700000000000003e-05,0.0
-7.6e-05,0.008
-7.499999999999998e-05,-0.002
-7.400000000000006e-05,-0.006
-7.300000000000004e-05,0.002
-7.200000000000002e-05,0.002
-7.099999999999999e-05,-0.012
-7.000000000000008e-05,-0.014
-6.900000000000005e-05,-0.004
-6.800000000000003e-05,-0.01
-6.7e-05,0.006
-6.599999999999998e-05,0.002
-6.500000000000006e-05,0.01
-6.400000000000004e-05,0.012
-6.300000000000001e-05,0.004
-6.199999999999999e-05,0.008
-6.100000000000007e-05,-0.002
-6.000000000000005e-05,0.004
-5.9000000000000025e-05,-0.002
-5.8e-05,0.0
-5.6999999999999976e-05,0.008
-5.600000000000006e-05,0.004
-5.5000000000000036e-05,0.012
-5.400000000000001e-05,0.008
-5.299999999999999e-05,-0.002
-5.200000000000007e-05,0.0
-5.100000000000005e-05,-0.018
-5.000000000000002e-05,-0.018
-4.9e-05,0.0
-4.7999999999999974e-05,0.0
-4.700000000000006e-05,-0.006
-4.6000000000000034e-05,0.004
-4.500000000000001e-05,-0.004
-4.3999999999999985e-05,-0.01
-4.300000000000007e-05,0.0
-4.2000000000000045e-05,-0.004
-4.100000000000002e-05,0.01
-3.9999999999999996e-05,0.004
-3.899999999999997e-05,-0.004
-3.8000000000000056e-05,-0.002
-3.700000000000003e-05,0.008
-3.600000000000001e-05,0.004
-3.499999999999998e-05,0.014
-3.400000000000007e-05,0.012
-3.300000000000004e-05,-0.002
-3.200000000000002e-05,0.0
-3.0999999999999995e-05,-0.012
-2.999999999999997e-05,-0.006
-2.9000000000000054e-05,0.002
-2.800000000000003e-05,0.0
-2.7000000000000006e-05,-0.006
-2.599999999999998e-05,0.002
-2.5000000000000066e-05,-0.008
-2.400000000000004e-05,-0.006
-2.3000000000000017e-05,-0.014
-2.1999999999999993e-05,-0.014
-2.1000000000000077e-05,-0.008
-2.0000000000000052e-05,-0.012
-1.9000000000000028e-05,0.0
-1.8000000000000004e-05,-0.002
-1.699999999999998e-05,-0.008
-1.6000000000000064e-05,-0.008
-1.500000000000004e-05,0.006
-1.4000000000000015e-05,0.004
-1.299999999999999e-05,-0.002
-1.2000000000000075e-05,0.002
-1.100000000000005e-05,-0.008
-1.0000000000000026e-05,0.008
-9.000000000000002e-06,-0.002
-7.999999999999978e-06,-0.002
-7.000000000000062e-06,0.008
-6.000000000000037e-06,0.004
-5.000000000000013e-06,0.014
-3.999999999999989e-06,0.006
-3.000000000000073e-06,0.016
-2.0000000000000486e-06,0.01
-1.0000000000000243e-06,-0.028
0.0,-0.028
1.0000000000000243e-06,-0.064
1.99999999999994e-06,-0.062
2.9999999999999645e-06,-0.09
3.999999999999989e-06,-0.088
5.000000000000013e-06,-0.116
